Distance from Lap Line (m),Elevation (m),UTMX,UTMY,LongX,LatY,rayon_de_courbure,rayon_de_courbure_clipped
223.0,206.3441,436004.1525,296061.9951,18.09683235,50.52812285,7405.570656421485,250.00516283577699
224.0,206.3399,436003.2672,296062.4602,18.09681978,50.52812694,108.54365291071642,108.54365291071642
225.0,206.3384,436002.3777,296062.9171,18.09680715,50.52813095,7427.335509330453,250.00516283577699
226.0,206.3302,436001.4881,296063.3739,18.09679452,50.52813496,279.52505182382697,250.00516283577699
227.0,206.3182,436000.5969,296063.8275,18.09678187,50.52813894,11219.89379924069,250.00516283577699
228.0,206.32,435999.7057,296064.281,18.09676921,50.52814293,5561.38989073435,250.00516283577699
229.0,206.3159,435998.8143,296064.7344,18.09675656,50.52814691,22832.12562666833,250.00516283577699
230.0,206.3222,435997.923,296065.1877,18.0967439,50.52815089,221.36629312432146,221.36629312432146
231.0,206.2832,435997.0296,296065.637,18.09673122,50.52815483,inf,250.00516283577699
232.0,206.3096,435996.1362,296066.0863,18.09671853,50.52815877,266.1852965823944,250.00516283577699
233.0,206.2941,435995.2412,296066.5322,18.09670583,50.52816269,5596.479794739747,250.00516283577699
234.0,206.3018,435994.346,296066.978,18.09669312,50.5281666,68.79356896339536,68.79356896339536
235.0,206.318,435993.4445,296067.4107,18.09668032,50.52817039,7494.883717857984,250.00516283577699
236.0,206.3148,435992.5429,296067.8433,18.09666753,50.52817418,657.0783171641924,250.00516283577699
237.0,206.3163,435991.6407,296068.2745,18.09665472,50.52817796,3749.770851507918,250.00516283577699
238.0,206.3198,435990.7383,296068.7055,18.09664191,50.52818174,151.03873440874818,151.03873440874818
239.0,206.3166,435989.8331,296069.1305,18.09662907,50.52818546,1491.2216433369897,250.00516283577699
240.0,206.3135,435988.9276,296069.5549,18.09661622,50.52818918,121.436956751711,121.436956751711
241.0,206.3289,435988.0187,296069.9718,18.09660332,50.52819283,800.0351528629336,250.00516283577699
242.0,206.3188,435987.1092,296070.3876,18.09659041,50.52819647,87.93555443580696,87.93555443580696
243.0,206.296,435986.1951,296070.793,18.09657745,50.52820002,604.2192944668742,250.00516283577699
244.0,206.3115,435985.2803,296071.1969,18.09656447,50.52820355,76.45893406653995,76.45893406653995
245.0,206.3147,435984.3603,296071.5888,18.09655142,50.52820698,1857.3506668564476,250.00516283577699
246.0,206.2902,435983.4401,296071.9802,18.09653837,50.5282104,269.1285558208015,250.00516283577699
247.0,206.32,435982.5184,296072.3682,18.09652529,50.52821379,928.6690906368389,250.00516283577699
248.0,206.2813,435981.5963,296072.7552,18.09651221,50.52821717,175.4256288020243,175.4256288020243
249.0,206.3101,435980.6721,296073.1369,18.09649911,50.5282205,498.2234921713526,250.00516283577699
250.0,206.31,435979.747,296073.5168,18.09648599,50.52822381,117.84472123993022,117.84472123993022
251.0,206.3064,435978.8188,296073.8888,18.09647283,50.52822706,618.9465423519947,250.00516283577699
252.0,206.2995,435977.89,296074.2593,18.09645966,50.52823029,159.3381788123951,159.3381788123951
253.0,206.2841,435976.9588,296074.624,18.09644645,50.52823347,737.2663271340452,250.00516283577699
254.0,206.2716,435976.0272,296074.9874,18.09643325,50.52823663,232.12783740434048,232.12783740434048
255.0,206.2872,435975.094,296075.3468,18.09642001,50.52823977,717.9800585724322,250.00516283577699
256.0,206.3095,435974.1603,296075.7049,18.09640678,50.52824288,246.94342118183255,246.94342118183255
257.0,206.2871,435973.2252,296076.0592,18.09639352,50.52824597,239.31719640470843,239.31719640470843
258.0,206.2901,435972.2886,296076.4096,18.09638025,50.52824902,97.86001298094051,97.86001298094051
259.0,206.2883,435971.3485,296076.7504,18.09636692,50.52825198,1315.2061608464742,250.00516283577699
260.0,206.289,435970.4081,296077.0905,18.09635359,50.52825494,632.6329905782248,250.00516283577699
261.0,206.2861,435969.4672,296077.4291,18.09634026,50.52825788,405.06092822858886,250.00516283577699
262.0,206.2897,435968.5254,296077.7654,18.09632691,50.5282608,249.01533509631918,249.01533509631918
263.0,206.2828,435967.5823,296078.0979,18.09631354,50.52826369,192.8031399003057,192.8031399003057
264.0,206.2994,435966.6375,296078.4255,18.09630016,50.52826653,128.01743267677566,128.01743267677566
265.0,206.2803,435965.6902,296078.7457,18.09628673,50.52826931,243.2264826739546,243.2264826739546
266.0,206.2752,435964.7416,296079.062,18.09627329,50.52827205,188.24680447690557,188.24680447690557
267.0,206.2892,435963.7912,296079.3733,18.09625983,50.52827475,203.9818846154715,203.9818846154715
268.0,206.2903,435962.8394,296079.6799,18.09624634,50.5282774,172.79785471545085,172.79785471545085
269.0,206.2632,435961.8858,296079.981,18.09623284,50.52828,170.87002849327382,170.87002849327382
270.0,206.2645,435960.9305,296080.2765,18.09621931,50.52828256,158.89333449687712,158.89333449687712
271.0,206.2728,435959.9733,296080.566,18.09620575,50.52828505,139.1985410807692,139.1985410807692
272.0,206.2463,435959.0141,296080.8486,18.09619216,50.52828749,149.78363225736007,149.78363225736007
273.0,206.268,435958.053,296081.1248,18.09617856,50.52828987,267.64241700734124,250.00516283577699
274.0,206.2564,435957.0909,296081.3974,18.09616493,50.52829222,329.45488804178365,250.00516283577699
275.0,206.2648,435956.1279,296081.6671,18.0961513,50.52829454,164.2972964521913,164.2972964521913
276.0,206.247,435955.1634,296081.9309,18.09613764,50.52829681,228.9333764526325,228.9333764526325
277.0,206.2702,435954.1977,296082.1905,18.09612397,50.52829903,128.82744129068837,128.82744129068837
278.0,206.26,435953.23,296082.4426,18.09611027,50.5283012,206.1491868746359,206.1491868746359
279.0,206.2467,435952.2611,296082.69,18.09609656,50.52830332,644.1925501934855,250.00516283577699
280.0,206.2413,435951.2918,296082.9359,18.09608284,50.52830542,1212.6919118780506,250.00516283577699
